Building/Name,Address_#,Street,Cira,Status_on_Register,_Year_Added_,By-Law/Report,Ownership
CN Station,2212, Sleeping Giant Parkway,1905,Designated,1979,258,City of Thunder Bay
Pagoda,170,Red River Road,1909,Designated,1979,90,City of Thunder Bay
Trinity United Church,30,Algoma Street South,1905,Designated,1979,362,Public Agency 
Brodie Resource Library,216,Brodie Street South,1912,Designated,1981,76,City of Thunder Bay (board-run)
Coo House,135,Archibald Street North,1898,Designated,1981,317,Private
Central School (Magnus Theatre),10,Algoma Street South,1884,Designated,1983,105,City of Thunder Bay (board-run)
Fort William Collegiate Institute,512,Marks Street South,1907,Designated,1983,104,Private
Port Arthur Collegiate Institute,401, Red River Road,1909,Designated,1983,106,Public Agency
St. Andrew's Presbyterian Church,211,Brodie Street South,1909,Designated,1984,197,Public Agency
James Murphy Residence (Murphy Mansion),431, Selkirk Street South,1919,Designated,1985,147,Private
Ottawa House,38-40,Cumberland Street South,1888,Designated,1987,35,Private
Arlington Apartments,230,Brodie Street North,1913,Designated,1988,230,Private
Royal Edward Arms,114,May Street South,1929,Designated,1988,176,Private
Black Bay Bridge,-,Arundel & Lyon Blvd.,1912,Designated,1989,263,City of Thunder Bay
Virgil School of Music,337,Van Norman Street,1905,Designated,1989,109,Private
Chippewa Park Carousel,-,Chippewa Park,1915,Designated,1991,129,City of Thunder Bay
Finnish Labour Temple,314,Bay Street,1910,Designated,1991,74,Public Agency
Lornehurst (Minore House),294,Court Street North,1906,Designated,1991,75,Private
Blake's Funeral Chapel,200,May Street South,1935,Designated,1992,257,Private
McKibbin House,131,Court Street North,1906,Designated,1992,258,Private
Bank of Commerce,409,Victoria Avenue East,1911,Designated,1994,106,Private
Thunder Bay Multicultural Centre,17,Court Street North,1906,Designated,1994,105,Public Agency
Thunder Bay Museum,425,425 Donald Street East,1912,Designated,1995,204,City of Thunder Bay (board-run)
Polish Hall,818,Spring Street,1913,Designated,2004,28,Public Agency
Vickers Park,1700,Arthur Street East,1902,Designated,2022,47,City of Thunder Bay
Whalen Building,34, Cumberland Street North,1913,Designated,2004,29,City of Thunder Bay
"1920s ""cottage style"" house",482,St. Patrick's Square,1925,Designated - Waverley Park,1988,65,Private
3-storey apartment building,350,Red River Road,1980,Designated - Waverley Park,1988,65,Private
8-storey apartment building,9,Regent Street,1975,Designated - Waverley Park,1988,65,Private
Apartment building,466,St. Patrick's Square,1965,Designated - Waverley Park,1988,65,Private
Bungalow,396,Red River Road,1920,Designated - Waverley Park,1988,65,Private
Colonial Revival style house,334,Red River Road,1905,Designated - Waverley Park,1988,65,Private
Colonial Revival style house,491,Red River Road,1905,Designated - Waverley Park,1988,65,Private
Connaught Square,-,"Red River Rd, Algoma St, Waverley St.",1903,Designated - Waverley Park,1988,65,City of Thunder Bay
Contemporary house,410,Red River Road,1965,Designated - Waverley Park,1988,65,Private
Contemporary house,432,St. Patrick's Square,1970,Designated - Waverley Park,1988,65,Private
Contemporary house,467,St. Patrick's Square,1970,Designated - Waverley Park,1988,65,Private
Cottage style house,402,Red River Road,1925,Designated - Waverley Park,1988,65,Private
Edwardian house,445,St. Patrick's Square,1905,Designated - Waverley Park,1988,65,Private
Edwardian house,486,St. Patrick's Square,1905,Designated - Waverley Park,1988,65,Private
English cottage style house,380,Herbert Street,1925,Designated - Waverley Park,1988,65,Private
English cottage style house,328,Red River Road,1925,Designated - Waverley Park,1988,65,Private
English cottage style house,457,St. Patrick's Square,1925,Designated - Waverley Park,1988,65,Private
Everest Funeral Home,299,Waverley Street ,1940,Designated - Waverley Park,1988,65,Private
First Baptist Church,308,Red River Road,1907,Designated - Waverley Park,1988,65,Public Agency
Hillcrest Towers apartment building,9,High Street South,1950,Designated - Waverley Park,1988,65,Private
Hogarth Fountain (feature within Waverley Park),-,Waverley Park,1790             (placed 1964),Designated - Waverley Park,1988,65,City of Thunder Bay
House (former public school - moved to this site in 1901),312-314 ,Red River Road,1874,Designated - Waverley Park,1988,65,Private
Late Victorian house,388,Red River Road,1905,Designated - Waverley Park,1988,65,Private
Late Victorian house,392,Red River Road,1900,Designated - Waverley Park,1988,65,Private
Late Victorian house,400,Red River Road,1915,Designated - Waverley Park,1988,65,Private
Masonic Lodge,262-270 ,Red River Road,1910,Designated - Waverley Park,1988,65,Private
Office building,385,Herbert Street,1960,Designated - Waverley Park,1988,65,Private
Pentacostal Church,326,Red River Road,1950,Designated - Waverley Park,1988,65,Public Agency
Period Revival style house,477,St. Patrick's Square,1905,Designated - Waverley Park,1988,65,Private
Post-war bungalow,369,Waverley Street ,1960,Designated - Waverley Park,1988,65,Private
Queen Anne Revival style house,332,Red River Road,1905,Designated - Waverley Park,1988,65,Private
Queen Anne Revival style house,338,Red River Road,1885,Designated - Waverley Park,1988,65,Private
