ccn,date,updateDate,city,state,postalCode,blocksizedAddress,incidentType,parentIncidentType,narrative
TB24012771,"04/01/2024, 4:26:49 AM","04/01/2024, 1:04:43 PM",THUNDER BAY,ON,P7B 7A5,1000 Block OLIVER RD, TBPS] ASSAULT SUSP PRESENT OR IN AREA,Assault,ASSAULT
TB24012776,"04/01/2024, 6:26:13 AM","04/01/2024, 1:04:43 PM",THUNDER BAY,ON,P7B 6V4,900 Block OLIVER RD," TBPS] SEXUAL ASSAULT JUST OCCURRED, ACCUSED NOT PRESENT",Other,SEXUAL ASSAULT
TB24012702,"03/31/2024, 10:52:51 AM","04/01/2024, 1:04:44 PM",THUNDER BAY,ON,P7E 3J8,900 Block HOLT PL, TBPS] LIQUOR LICENCE ACT LIQUOR LICENCE ACT VIOLATION IN PROGRESS,Quality of Life,LIQUOR LICENCE ACT
TB24012748,"03/31/2024, 10:46:47 PM","04/01/2024, 1:04:44 PM",THUNDER BAY,ON,P7E 5M8,900 Block ARTHUR ST E, TBPS] THEFT SUSP STILL PRESENT OR MAY BE IN AREA,Other Theft,THEFT
TB24012751,"04/01/2024, 12:20:50 AM","04/01/2024, 1:04:44 PM",THUNDER BAY,ON,P7B 1L4,200 Block AMBROSE ST, TBPS] ASSAULT ACCUSED NOT PRESENT,Assault,ASSAULT
TB24012756,"04/01/2024, 1:13:08 AM","04/01/2024, 1:04:44 PM",THUNDER BAY,ON,P7C 4T4,500 Block JAMES ST N, TBPS] B-E BUS/RES/OTH 11-10,Breaking & Entering,B-E BUS/RES/OTH
TB24012773,"04/01/2024, 5:21:30 AM","04/01/2024, 1:04:44 PM",THUNDER BAY,ON,P7A 1L6,400 Block ARUNDEL ST, TBPS] LIQUOR LICENCE ACT LIQUOR LICENCE ACT VIOLATION IN PROGRESS,Quality of Life,LIQUOR LICENCE ACT
TB24012685,"03/31/2024, 7:40:44 AM","04/01/2024, 1:04:45 PM",THUNDER BAY,ON,P7B 7A4,GOLF LINKS RD AND OLIVER RD, TBPS] LIQUOR LICENCE ACT LIQUOR LICENCE ACT VIOLATION IN PROGRESS,Quality of Life,LIQUOR LICENCE ACT
TB24012697,"03/31/2024, 9:25:52 AM","04/01/2024, 1:04:45 PM",THUNDER BAY,ON,P7B 5J4,1000 Block DAWSON RD, TBPS] ASSAULT SUSP PRESENT OR IN AREA,Assault,ASSAULT
TB24012699,"03/31/2024, 10:08:18 AM","04/01/2024, 1:04:45 PM",THUNDER BAY,ON,P7B 5J4,1000 Block DAWSON RD, TBPS] LIQUOR LICENCE ACT LIQUOR LICENCE ACT VIOLATION IN PROGRESS,Quality of Life,LIQUOR LICENCE ACT
TB24012705,"03/31/2024, 12:01:09 PM","04/01/2024, 1:04:45 PM",THUNDER BAY,ON,P7B 6J8,1 Block PICTON AV, TBPS] B-E BUS/RES/OTH SUSP PRESENT OR MAY STILL BE IN AREA,Breaking & Entering,B-E BUS/RES/OTH
TB24012709,"03/31/2024, 1:21:14 PM","04/01/2024, 1:04:45 PM",THUNDER BAY,ON,P7B 5J4,1000 Block DAWSON RD, TBPS] LIQUOR LICENCE ACT LIQUOR LICENCE ACT VIOLATION IN PROGRESS,Quality of Life,LIQUOR LICENCE ACT
TB24012710,"03/31/2024, 1:24:16 PM","04/01/2024, 1:04:45 PM",THUNDER BAY,ON,P7A 1G4,300 Block MORSE ST," TBPS] MISCHIEF IP/SUSP IN AREA, UNDER 5,000",Other Property Crime,MISCHIEF
TB24012692,"03/31/2024, 8:42:26 AM","04/01/2024, 1:04:46 PM",THUNDER BAY,ON,P7A 7W6,COADY AV AND LAIDLAW DR, TBPS] LIQUOR LICENCE ACT LIQUOR LICENCE ACT VIOLATION IN PROGRESS,Quality of Life,LIQUOR LICENCE ACT
TB24012727,"03/31/2024, 6:18:57 PM","04/01/2024, 1:04:46 PM",THUNDER BAY,ON,P7C,HARBOUR EXPRESSWAY AND GOLF LINKS RD, TBPS] MOTOR VEHICLE COLLISION MVC - AMB ENR - DUAL RESP,Other,MOTOR VEHICLE COLLISION
TB24012728,"03/31/2024, 6:19:01 PM","04/01/2024, 1:04:46 PM",THUNDER BAY,ON,P7C,GOLF LINKS RD AND HARBOUR EXPRESSWAY, TBPS] MOTOR VEHICLE COLLISION MVC - AMB ENR - DUAL RESP,Other,MOTOR VEHICLE COLLISION
TB24012719,"03/31/2024, 4:11:21 PM","04/01/2024, 1:06:31 PM",THUNDER BAY,ON,P7B 6C5,1100 Block ALLOY DR, TBPS] MOTOR VEHICLE COLLISION MVC NO INJURIES,Traffic,MOTOR VEHICLE COLLISION
TB24012739,"03/31/2024, 9:01:43 PM","04/01/2024, 1:06:31 PM",THUNDER BAY,ON,P7B 5L4,1 Block CUMBERLAND ST S, TBPS] ASSAULT SUSP PRESENT OR IN AREA,Assault,ASSAULT
TB24012754,"04/01/2024, 1:04:47 AM","04/01/2024, 1:06:31 PM",THUNDER BAY,ON,P7E 3V7,100 Block FREDERICA ST W, TBPS] B-E BUS/RES/OTH SUSP PRESENT OR MAY STILL BE IN AREA,Breaking & Entering,B-E BUS/RES/OTH
TB24012767,"04/01/2024, 3:09:30 AM","04/01/2024, 1:06:31 PM",THUNDER BAY,ON,P7B 5J4,1000 Block DAWSON RD, TBPS] LIQUOR LICENCE ACT LIQUOR LICENCE ACT VIOLATION IN PROGRESS,Quality of Life,LIQUOR LICENCE ACT
TB24012879,"04/02/2024, 12:43:42 AM","04/02/2024, 1:04:50 PM",THUNDER BAY,ON,P7C 2K2,300 Block PRUDEN ST," TBPS] THEFT NOT IN PROGRESS, UNDER 5000",Other Theft,THEFT
TB24012888,"04/02/2024, 1:44:18 AM","04/02/2024, 1:04:52 PM",THUNDER BAY,ON,P7C 2L5,1100 Block ROSEDALE AV, TBPS] ROBBERY NO WEAPONS - SUSP STILL IN AREA,Robbery,ROBBERY
TB24012890,"04/02/2024, 1:59:13 AM","04/02/2024, 1:04:52 PM",THUNDER BAY,ON,P7G 2G1,2000 Block DAWSON RD, TBPS] MOTOR VEHICLE COLLISION MVC - AMB ENR - DUAL RESP,Other,MOTOR VEHICLE COLLISION
TB24012897,"04/02/2024, 2:52:10 AM","04/02/2024, 1:04:53 PM",THUNDER BAY,ON,P7B 1K3,900 Block RED RIVER RD, TBPS] LIQUOR LICENCE ACT LIQUOR LICENCE ACT VIOLATION IN PROGRESS,Quality of Life,LIQUOR LICENCE ACT
TB24012904,"04/02/2024, 4:33:42 AM","04/02/2024, 1:04:54 PM",THUNDER BAY,ON,P7E 5V3,500 Block DONALD ST E, TBPS] ASSAULT SUSP PRESENT OR IN AREA,Assault,ASSAULT
TB24012907,"04/02/2024, 4:47:12 AM","04/02/2024, 1:04:54 PM",THUNDER BAY,ON,P7B 4N1,200 Block WINDEMERE AV S," TBPS] MISCHIEF 11-10, MICHIEF UNDER 5000",Other Property Crime,MISCHIEF
TB24012910,"04/02/2024, 5:38:22 AM","04/02/2024, 1:04:55 PM",THUNDER BAY,ON,P7B 5R7,100 Block CUMBERLAND ST S, TBPS] DRUG OFFENCES SUSP PRESENT OR MAY STILL BE IN AREA,Quality of Life,DRUG OFFENCES
TB24012793,"04/01/2024, 11:21:50 AM","04/02/2024, 1:05:14 PM",THUNDER BAY,ON,P7E 6T7,600 Block DOCK ST," TBPS] MISCHIEF IP/SUSP IN AREA, UNDER 5,000",Other Property Crime,MISCHIEF
TB24012797,"04/01/2024, 1:41:05 PM","04/02/2024, 1:05:15 PM",THUNDER BAY,ON,P7B 1K3,900 Block RED RIVER RD, TBPS] THEFT SUSP STILL PRESENT OR MAY BE IN AREA,Other Theft,THEFT
TB24012800,"04/01/2024, 2:20:05 PM","04/02/2024, 1:05:15 PM",THUNDER BAY,ON,P7C,CHAPPLES DR AND REDWOOD AV E, TBPS] MOTOR VEHICLE COLLISION MVC - AMB ENR - DUAL RESP,Other,MOTOR VEHICLE COLLISION
TB24012802,"04/01/2024, 2:32:11 PM","04/02/2024, 1:05:15 PM",THUNDER BAY,ON,P7B 5R4,300 Block MOONEY AV, TBPS] B-E BUS/RES/OTH 11-10,Breaking & Entering,B-E BUS/RES/OTH
TB24012808,"04/01/2024, 3:39:09 PM","04/02/2024, 1:05:16 PM",THUNDER BAY,ON,P7A 4P8,300 Block CUMBERLAND ST N, TBPS] ASSAULT ACCUSED NOT PRESENT,Assault,ASSAULT
TB24012811,"04/01/2024, 4:23:37 PM","04/02/2024, 1:05:17 PM",THUNDER BAY,ON,P7C 2M7,300 Block HERON ST, TBPS] B-E BUS/RES/OTH 11-10,Breaking & Entering,B-E BUS/RES/OTH
TB24012819,"04/01/2024, 6:03:30 PM","04/02/2024, 1:05:18 PM",THUNDER BAY,ON,P7B 3Z7,700 Block MEMORIAL AV," TBPS] THEFT NOT IN PROGRESS, UNDER 5000",Other Theft,THEFT
TB24012820,"04/01/2024, 6:06:32 PM","04/02/2024, 1:05:18 PM",THUNDER BAY,ON,P7B 5R8,100 Block CUMBERLAND ST S, TBPS] B-E BUS/RES/OTH SUSP PRESENT OR MAY STILL BE IN AREA,Breaking & Entering,B-E BUS/RES/OTH
