ccn,date,updateDate,city,state,postalCode,blocksizedAddress,incidentType,parentIncidentType,narrative
TB23053023,"12/31/2023, 9:02:02 PM","01/01/2024, 2:02:29 PM",THUNDER BAY,ON,P7E 1B4,200 Block MAY ST S, TBPS] B-E BUS/RES/OTH SUSP PRESENT OR MAY STILL BE IN AREA,Breaking & Entering,B-E BUS/RES/OTH
TB23053040,"01/01/2024, 12:39:16 AM","01/01/2024, 2:02:29 PM",THUNDER BAY,ON,P7E 5R6,600 Block ARTHUR ST W, TBPS] MOTOR VEHICLE COLLISION MVC NO INJURIES,Traffic,MOTOR VEHICLE COLLISION
TB23053038,"12/31/2023, 11:51:00 PM","01/01/2024, 2:02:29 PM",THUNDER BAY,ON,P7B 6B9,1000 Block FORT WILLIAM RD, TBPS] LIQUOR LICENCE ACT LIQUOR LICENCE ACT VIOLATION IN PROGRESS,Quality of Life,LIQUOR LICENCE ACT
TB23053048,"01/01/2024, 1:51:11 AM","01/01/2024, 2:02:29 PM",THUNDER BAY,ON,P7C 1G9,JAMES ST N AND VICTORIA AV W, TBPS] MOTOR VEHICLE COLLISION MVC - AMB ENR - DUAL RESP,Other,MOTOR VEHICLE COLLISION
TB23053044,"01/01/2024, 1:05:33 AM","01/01/2024, 2:02:29 PM",THUNDER BAY,ON,P7E 5M8,900 Block ARTHUR ST E, TBPS] THEFT SUSP STILL PRESENT OR MAY BE IN AREA,Other Theft,THEFT
TB23052922,"12/30/2023, 10:31:41 PM","01/01/2024, 2:02:30 PM",THUNDER BAY,ON,J4Y 0B5,400 Block LYON BLVD W, TBPS] MOTOR VEHICLE COLLISION 11-10 MVC ANY TYPE,Other,MOTOR VEHICLE COLLISION
TB23052984,"12/31/2023, 8:06:31 AM","01/01/2024, 2:02:30 PM",THUNDER BAY,ON,P7B 3Y6,400 Block MEMORIAL AV," TBPS] MISCHIEF IP/SUSP IN AREA, UNDER 5,000",Other Property Crime,MISCHIEF
TB23052990,"12/31/2023, 8:50:56 AM","01/01/2024, 2:02:30 PM",THUNDER BAY,ON,P7B 4J3,1 Block TRILLIUM WAY, TBPS] LIQUOR LICENCE ACT LIQUOR LICENCE ACT VIOLATION IN PROGRESS,Quality of Life,LIQUOR LICENCE ACT
TB23052992,"12/31/2023, 9:42:14 AM","01/01/2024, 2:02:30 PM",THUNDER BAY,ON,P7C 2J6,100 Block PRUDEN ST, TBPS] ASSAULT ACCUSED NOT PRESENT,Assault,ASSAULT
TB23053007,"12/31/2023, 5:11:14 PM","01/01/2024, 2:02:30 PM",THUNDER BAY,ON,P7E 4W9,JAMES ST S AND WALSH ST W, TBPS] MOTOR VEHICLE COLLISION MVC NO INJURIES,Traffic,MOTOR VEHICLE COLLISION
TB23052999,"12/31/2023, 11:07:36 AM","01/01/2024, 2:02:30 PM",THUNDER BAY,ON,P7B 2V7,1 Block JOHNSON AV, TBPS] ROBBERY NO WEAPONS - SUSP STILL IN AREA,Robbery,ROBBERY
TB23053027,"12/31/2023, 10:16:56 PM","01/01/2024, 2:02:30 PM",THUNDER BAY,ON,P7C 4P4,EDWARD ST N AND CHURCHILL DR E, TBPS] LIQUOR LICENCE ACT LIQUOR LICENCE ACT VIOLATION IN PROGRESS,Quality of Life,LIQUOR LICENCE ACT
TB23053008,"12/31/2023, 5:16:21 PM","01/01/2024, 2:02:30 PM",THUNDER BAY,ON,P7B 6B9,1000 Block FORT WILLIAM RD, TBPS] ROBBERY NO WEAPONS - SUSP STILL IN AREA,Robbery,ROBBERY
TB23053018,"12/31/2023, 8:00:52 PM","01/01/2024, 2:02:30 PM",THUNDER BAY,ON,P0T 2G0,5100 Block OLIVER RD, TBPS] MOTOR VEHICLE COLLISION MVC - AMB ENR,Traffic,MOTOR VEHICLE COLLISION
TB23053035,"12/31/2023, 11:34:24 PM","01/01/2024, 2:02:30 PM",THUNDER BAY,ON,P7B 6J8,PICTON AV AND WALKOVER ST, TBPS] MOTOR VEHICLE COLLISION MVC - AMB ENR - DUAL RESP,Other,MOTOR VEHICLE COLLISION
TB23052895,"12/30/2023, 6:50:02 PM","01/01/2024, 2:02:31 PM",THUNDER BAY,ON,P7B 2X3,1 Block COURT ST S, TBPS] MOTOR VEHICLE COLLISION 11-10 MVC ANY TYPE,Other,MOTOR VEHICLE COLLISION
TB23052825,"12/30/2023, 2:12:45 AM","01/02/2024, 2:03:02 PM",THUNDER BAY,ON,P7A 8C5,500 Block ALGOMA ST N, TBPS] ARSON 11-10 ARSON,Other Property Crime,ARSON
TB24000025,"01/01/2024, 9:07:02 AM","01/02/2024, 2:03:03 PM",THUNDER BAY,ON,P7A 4L2,1 Block CUMBERLAND ST N, TBPS] ASSAULT SUSP PRESENT OR IN AREA,Assault,ASSAULT
TB24000029,"01/01/2024, 9:28:51 AM","01/02/2024, 2:03:03 PM",THUNDER BAY,ON,P7A 3E6,200 Block VAN HORNE ST, TBPS] ASSAULT SUSP PRESENT OR IN AREA,Assault,ASSAULT
TB24000069,"01/01/2024, 8:01:08 PM","01/02/2024, 2:03:03 PM",THUNDER BAY,ON,P7B 5Z5,1200 Block BALMORAL ST," TBPS] THEFT NOT IN PROGRESS, UNDER 5000",Other Theft,THEFT
TB24000061,"01/01/2024, 5:11:26 PM","01/02/2024, 2:03:03 PM",THUNDER BAY,ON,P7E 2A6,500 Block KINGSWAY," TBPS] MISCHIEF 11-10, MICHIEF UNDER 5000",Other Property Crime,MISCHIEF
TB24000109,"01/02/2024, 4:11:48 AM","01/02/2024, 2:03:03 PM",THUNDER BAY,ON,P7K 1G1,2200 Block 25TH SIDE RD," TBPS] MISCHIEF 11-10, MICHIEF OVER 5000",Other Property Crime,MISCHIEF
TB24000070,"01/01/2024, 8:07:45 PM","01/02/2024, 2:03:03 PM",THUNDER BAY,ON,P7E 4H8,400 Block BROCK ST E," TBPS] THEFT NOT IN PROGRESS, UNDER 5000",Other Theft,THEFT
TB24000113,"01/02/2024, 4:49:54 AM","01/02/2024, 2:03:03 PM",THUNDER BAY,ON,P7B 3Y2,300 Block MEMORIAL AV," TBPS] THEFT IN PROGRESS, OVER 50000",Other Theft,THEFT
TB24000016,"01/01/2024, 8:27:30 AM","01/02/2024, 2:03:04 PM",THUNDER BAY,ON,P7A 5X8,200 Block PINE ST, TBPS] LIQUOR LICENCE ACT LIQUOR LICENCE ACT VIOLATION IN PROGRESS,Quality of Life,LIQUOR LICENCE ACT
TB24000014,"01/01/2024, 8:02:16 AM","01/02/2024, 2:03:04 PM",THUNDER BAY,ON,P7A 4L2,1 Block CUMBERLAND ST N, TBPS] ASSAULT ACCUSED NOT PRESENT,Assault,ASSAULT
TB24000048,"01/01/2024, 12:02:40 PM","01/02/2024, 2:03:04 PM",THUNDER BAY,ON,P7A 4K8,1 Block CUMBERLAND ST N, TBPS] ASSAULT SUSP PRESENT OR IN AREA,Assault,ASSAULT
TB24000038,"01/01/2024, 10:10:20 AM","01/02/2024, 2:03:04 PM",THUNDER BAY,ON,P7B 5Z5,1200 Block BALMORAL ST," TBPS] THEFT NOT IN PROGRESS, UNDER 5000",Other Theft,THEFT
TB24000242,"01/03/2024, 12:26:41 AM","01/03/2024, 2:02:30 PM",THUNDER BAY,ON,P7C 4P7,400 Block EDWARD ST N, TBPS] ASSAULT SUSP PRESENT OR IN AREA,Assault,ASSAULT
TB24000258,"01/03/2024, 2:54:27 AM","01/03/2024, 2:02:30 PM",THUNDER BAY,ON,P7C 5L1,600 Block THORNLOE DR, TBPS] THEFT SUSP STILL PRESENT OR MAY BE IN AREA,Other Theft,THEFT
TB24000222,"01/02/2024, 10:26:39 PM","01/03/2024, 2:02:30 PM",THUNDER BAY,ON,P7B 5Z5,1200 Block BALMORAL ST," TBPS] THEFT NOT IN PROGRESS, UNDER 5000",Other Theft,THEFT
TB24000227,"01/02/2024, 10:54:17 PM","01/03/2024, 2:02:30 PM",THUNDER BAY,ON,P7C 2B7,100 Block ASHLAND PL, TBPS] INDECENT ACTS SUSP PRESENT OR MAY STILL BE IN AREA,Sexual Offense,INDECENT ACTS
TB24000251,"01/03/2024, 1:41:41 AM","01/03/2024, 2:02:30 PM",THUNDER BAY,ON,P7B 6B9,1000 Block FORT WILLIAM RD, TBPS] MOTOR VEHICLE COLLISION MVC NO INJURIES,Traffic,MOTOR VEHICLE COLLISION
TB24000238,"01/02/2024, 11:44:15 PM","01/03/2024, 2:02:30 PM",THUNDER BAY,ON,P7E 6H2,200 Block AMELIA ST W, TBPS] B-E BUS/RES/OTH 11-10,Breaking & Entering,B-E BUS/RES/OTH
TB24000158,"01/02/2024, 5:11:17 PM","01/03/2024, 2:02:31 PM",THUNDER BAY,ON,P7B,MEMORIAL AV AND HARBOUR EXPRESSWAY, TBPS] MOTOR VEHICLE COLLISION 11-10 MVC ANY TYPE,Other,MOTOR VEHICLE COLLISION
TB24000163,"01/02/2024, 5:17:59 PM","01/03/2024, 2:02:31 PM",THUNDER BAY,ON,P7B 2G4,OLIVER RD AND HILL ST S, TBPS] MOTOR VEHICLE COLLISION 11-10 MVC ANY TYPE,Other,MOTOR VEHICLE COLLISION
TB24000159,"01/02/2024, 5:12:58 PM","01/03/2024, 2:02:31 PM",THUNDER BAY,ON,P7E 3A7,1600 Block MOUNTDALE AV, TBPS] MOTOR VEHICLE COLLISION 11-10 MVC ANY TYPE,Other,MOTOR VEHICLE COLLISION
TB24000165,"01/02/2024, 5:21:23 PM","01/03/2024, 2:02:31 PM",THUNDER BAY,ON,P7B 1K1,RED RIVER RD AND CLARKSON ST N, TBPS] MOTOR VEHICLE COLLISION 11-10 MVC ANY TYPE,Other,MOTOR VEHICLE COLLISION
TB24000177,"01/02/2024, 6:19:01 PM","01/03/2024, 2:02:31 PM",THUNDER BAY,ON,P7B 6B9,1000 Block FORT WILLIAM RD, TBPS] MOTOR VEHICLE COLLISION 11-10 MVC ANY TYPE,Other,MOTOR VEHICLE COLLISION
TB24000178,"01/02/2024, 6:21:56 PM","01/03/2024, 2:02:31 PM",THUNDER BAY,ON,P7B 6B9,1000 Block FORT WILLIAM RD, TBPS] MOTOR VEHICLE COLLISION 11-10 MVC ANY TYPE,Other,MOTOR VEHICLE COLLISION
