ccn,date,updateDate,city,state,postalCode,blocksizedAddress,incidentType,parentIncidentType,narrative
TB24026564,"07/01/2024, 6:54:37 AM","07/01/2024, 1:03:27 PM",THUNDER BAY,ON,P7C 2E8,100 Block INGLEWOOD CR, TBPS] B-E BUS/RES/OTH SUSP PRESENT OR MAY STILL BE IN AREA,Breaking & Entering,B-E BUS/RES/OTH
TB24026541,"07/01/2024, 3:37:19 AM","07/01/2024, 1:03:29 PM",THUNDER BAY,ON,P7A 1V2,400 Block HODDER AV," TBPS] MISCHIEF IP/SUSP IN AREA, UNDER 5,000",Other Property Crime,MISCHIEF
TB24026549,"07/01/2024, 4:37:54 AM","07/01/2024, 1:03:29 PM",THUNDER BAY,ON,P7E 6N7,1500 Block JAMES ST S, TBPS] ROBBERY NO WEAPONS - SUSP STILL IN AREA,Robbery,ROBBERY
TB24026525,"07/01/2024, 1:56:24 AM","07/01/2024, 1:03:30 PM",THUNDER BAY,ON,P7E 4A5,300 Block AMELIA ST W, TBPS] ASSAULT SUSP PRESENT OR IN AREA,Assault,ASSAULT
TB24026537,"07/01/2024, 3:11:00 AM","07/01/2024, 1:03:30 PM",THUNDER BAY,ON,P7E 1Z4,1200 Block TARBUTT ST S, TBPS] LIQUOR LICENCE ACT LIQUOR LICENCE ACT VIOLATION IN PROGRESS,Quality of Life,LIQUOR LICENCE ACT
TB24026515,"06/30/2024, 10:55:53 PM","07/01/2024, 1:03:31 PM",THUNDER BAY,ON,P7A 3S4,600 Block RIVER ST," TBPS] MISCHIEF 11-10, MICHIEF UNDER 5000",Other Property Crime,MISCHIEF
TB24026494,"06/30/2024, 8:26:59 PM","07/01/2024, 1:03:32 PM",THUNDER BAY,ON,P7C 3J7,600 Block SIMPSON ST," TBPS] MISCHIEF 11-10, MICHIEF UNDER 5000",Other Property Crime,MISCHIEF
TB24026500,"06/30/2024, 9:13:09 PM","07/01/2024, 1:03:32 PM",THUNDER BAY,ON,P7C 4Y7,300 Block LILLIE ST N, TBPS] LIQUOR LICENCE ACT LIQUOR LICENCE ACT VIOLATION IN PROGRESS,Quality of Life,LIQUOR LICENCE ACT
TB24026502,"06/30/2024, 9:52:53 PM","07/01/2024, 1:03:32 PM",THUNDER BAY,ON,P7C 2K7,200 Block FINLAYSON ST," TBPS] THEFT NOT IN PROGRESS, UNDER 5000",Other Theft,THEFT
TB24026487,"06/30/2024, 7:15:17 PM","07/01/2024, 1:03:33 PM",THUNDER BAY,ON,P7C 2K7,MCMURRAY ST AND FINLAYSON ST, TBPS] ROBBERY NO WEAPONS - SUSP STILL IN AREA,Robbery,ROBBERY
TB24026489,"06/30/2024, 7:50:29 PM","07/01/2024, 1:03:33 PM",THUNDER BAY,ON,P7C 2S1,300 Block PACIFIC AV," TBPS] MISCHIEF 11-10, MICHIEF UNDER 5000",Other Property Crime,MISCHIEF
