ccn,date,updateDate,city,state,postalCode,blocksizedAddress,incidentType,parentIncidentType,narrative
TB24040905,"09/30/2024, 11:53:14 PM","10/01/2024, 1:07:01 PM",THUNDER BAY,ON,P7C 4P9,500 Block EDWARD ST N," TBPS] THEFT NOT IN PROGRESS, UNDER 5000",Other Theft,THEFT
TB24040910,"10/01/2024, 12:09:20 AM","10/01/2024, 1:07:02 PM",THUNDER BAY,ON,P7B 5N5,200 Block RAVENWOOD AV," TBPS] THEFT NOT IN PROGRESS, UNDER 5000",Other Theft,THEFT
TB24040926,"10/01/2024, 1:54:42 AM","10/01/2024, 1:07:05 PM",THUNDER BAY,ON,P7E 1M1,200 Block MARKS ST S, TBPS] ASSAULT ACCUSED PRESENT,Assault,ASSAULT
TB24040928,"10/01/2024, 1:59:22 AM","10/01/2024, 1:07:05 PM",THUNDER BAY,ON,P7A 2V2,300 Block OTTO ST," TBPS] THEFT NOT IN PROGRESS, FROM MOTOR VEHICLE",Theft from Vehicle,THEFT
TB24040621,"09/29/2024, 2:13:34 AM","10/01/2024, 1:07:07 PM",THUNDER BAY,ON,P7A 8A4,100 Block EAST AV, TBPS] MOTOR VEHICLE COLLISION 11-10 MVC ANY TYPE,Other,MOTOR VEHICLE COLLISION
TB24040387,"09/27/2024, 4:50:10 PM","10/01/2024, 1:07:08 PM",THUNDER BAY,ON,P7J 1H2,1900 Block MOUNT FOREST BLVD," TBPS] MISCHIEF 11-10, MICHIEF OVER 5000",Other Property Crime,MISCHIEF
TB24040952,"10/01/2024, 5:04:11 AM","10/01/2024, 1:07:10 PM",THUNDER BAY,ON,P7A 7X2,600 Block COURT ST N, TBPS] B-E BUS/RES/OTH SUSP PRESENT OR MAY STILL BE IN AREA,Breaking & Entering,B-E BUS/RES/OTH
TB24040963,"10/01/2024, 6:42:23 AM","10/01/2024, 1:07:12 PM",THUNDER BAY,ON,.,100 Block PEARL ST, TBPS] ASSAULT SUSP PRESENT OR IN AREA,Assault,ASSAULT
TB24040661,"09/29/2024, 6:17:16 AM","10/01/2024, 1:07:14 PM",THUNDER BAY,ON,P7B 1V8,200 Block WINDSOR ST, TBPS] ASSAULT ACCUSED NOT PRESENT,Assault,ASSAULT
TB24040769,"09/30/2024, 1:22:37 AM","10/01/2024, 1:07:16 PM",THUNDER BAY,ON,P7A 7T3,300 Block PEEL ST, TBPS] ARSON 11-10 ARSON,Other Property Crime,ARSON
TB24040804,"09/30/2024, 5:26:21 AM","10/01/2024, 1:07:23 PM",THUNDER BAY,ON,P7B 3Z7,800 Block MEMORIAL AV," TBPS] MISCHIEF 11-10, MICHIEF UNDER 5000",Other Property Crime,MISCHIEF
TB24040829,"09/30/2024, 9:41:15 AM","10/01/2024, 1:07:26 PM",THUNDER BAY,ON,P7E 5Y8,400 Block GEORGE ST, TBPS] ASSAULT ACCUSED NOT PRESENT,Assault,ASSAULT
TB24040834,"09/30/2024, 1:52:39 PM","10/01/2024, 1:07:27 PM",THUNDER BAY,ON,P7E 5Y8,400 Block GEORGE ST, TBPS] DRUG OFFENCES SUSP PRESENT OR MAY STILL BE IN AREA,Quality of Life,DRUG OFFENCES
TB24040844,"09/30/2024, 3:54:38 PM","10/01/2024, 1:07:28 PM",THUNDER BAY,ON,P7E 5N2,1300 Block ARTHUR ST E," TBPS] MISCHIEF 11-10, MICHIEF UNDER 5000",Other Property Crime,MISCHIEF
TB24040848,"09/30/2024, 5:00:44 PM","10/01/2024, 1:07:28 PM",THUNDER BAY,ON,P7C 2W4,NORTHERN AV AND VICKERS ST N, TBPS] MOTOR VEHICLE COLLISION MVC NO INJURIES,Traffic,MOTOR VEHICLE COLLISION
TB24040864,"09/30/2024, 6:45:37 PM","10/01/2024, 1:07:30 PM",THUNDER BAY,ON,P7A 8C8,700 Block ARUNDEL ST," TBPS] THEFT NOT IN PROGRESS, UNDER 5000",Other Theft,THEFT
TB24040872,"09/30/2024, 7:41:07 PM","10/01/2024, 1:07:31 PM",THUNDER BAY,ON,P7B 5J4,1000 Block DAWSON RD," TBPS] THEFT NOT IN PROGRESS, UNDER 5000",Other Theft,THEFT
TB24040876,"09/30/2024, 7:59:14 PM","10/01/2024, 1:07:32 PM",THUNDER BAY,ON,P7C 3W2,300 Block SYNDICATE AV N, TBPS] B-E BUS/RES/OTH 11-10,Breaking & Entering,B-E BUS/RES/OTH
TB24040880,"09/30/2024, 8:23:29 PM","10/01/2024, 1:07:32 PM",THUNDER BAY,ON,P7A 5A6,200 Block ALGOMA ST N," TBPS] MISCHIEF 11-10, MICHIEF UNDER 5000",Other Property Crime,MISCHIEF
TB24040886,"09/30/2024, 9:03:13 PM","10/01/2024, 1:07:32 PM",THUNDER BAY,ON,P7A 5E7,1 Block JEAN ST, TBPS] ASSAULT SUSP PRESENT OR IN AREA,Assault,ASSAULT
